Temperature (°C),RPM,Torque (Nm),Vibrations (mm/s),Power Output (MW),Fuel Flow Rate (kg/s),Air Pressure (kPa),Exhaust Gas Temperature (°C),Oil Temperature (°C),Fault
924.8357076505616,15650.870644699398,3464.645167376844,1.6750865572512819,96.34759022510154,2.2652938232494018,146.24545952840234,517.6117260378361,90.53095780715985,0
893.0867849414408,15780.755598363427,3190.276340227251,2.042084115092848,83.28830227505935,2.7559495919239576,166.81213425566767,500.19645973413617,136.04735012294853,0
932.3844269050346,15016.002074532884,3401.769250571579,2.0064143217718424,120.35873535181793,2.5742441642920313,133.4941607833827,516.2727190859631,124.91003945957753,0
976.1514928204012,14623.291064826908,3443.024901326066,2.2399135176834166,104.68978078148467,2.497100673605996,140.14163450101495,475.731083212226,123.2982306086851,1
888.2923312638331,15229.986071469559,3448.764049500924,1.8656771233451288,95.08043095130517,2.763689191921195,109.79566690867874,546.7371629695507,119.3822393772944,1
888.293152152541,14661.142315123947,3451.700510825844,1.0818201081148013,113.28056888986967,2.6441825780042043,123.52097831560874,529.7788430893829,121.63427820386131,0
978.9606407753696,16006.69362376331,3487.647160027974,1.7836130582058056,90.2723548324,2.93396898737541,186.15261611341373,459.65216638804486,114.02721064153752,0
938.3717364576454,15068.267665541369,3595.888303617213,2.396909233571908,104.06622034222674,2.362042221305458,182.82857255444628,467.7469085564973,126.16579352307271,0
876.5262807032524,14817.339224343945,3674.9034148265046,1.8513119603784467,98.27370865709165,2.3711095064417473,151.31577297297926,468.5923474967928,106.92901655600868,0
927.1280021792983,15092.340152932455,3370.0469546303466,1.876808298742726,106.386771398803,2.1096672200825966,183.25862894379674,520.3390991268958,121.86068432470547,0
876.8291153593768,14326.436855235152,3259.359828922171,2.4931882529529688,99.36426460813878,2.371305784788274,146.7985102678339,461.458167007476,125.61573470571105,0
876.7135123214872,14514.192980744674,3291.5911175513793,1.6440133863705386,85.49072108888775,2.7894309682907337,145.13179394864184,490.06926997375757,118.01330866177096,0
912.0981135783018,15600.206953972212,3402.5594157610144,1.2285983908785503,100.75576372670038,2.88999621167864,151.13021296931112,513.6411318925033,123.70867792471024,1
804.33598776711,14671.552860514303,3429.615736436698,1.9196844402372528,110.48864141875362,2.7880915504260004,147.5015680935287,498.01502196360696,110.0866560776575,0
813.7541083743483,14476.54450865903,3346.0007867605086,1.7579130243756316,99.70783594146015,1.9617424400351693,145.6960735287964,507.7666254713812,110.34173229104036,0
871.8856235379513,15268.326376263643,3240.7766671500212,1.516876840123373,107.75115121589086,2.8249435637982203,172.86796214299105,468.02591865953724,122.36717121026393,0
849.3584439832788,15592.852077331498,3408.7758345051625,1.9123107720506547,89.54470514325946,1.948444413018379,153.00271307912405,517.8456312019173,126.78549654621051,1
915.7123666297637,15359.476655332533,3536.285324022794,2.2457528236233917,99.73739206730149,2.7694351972367044,164.2496352886761,481.60364322572013,101.2513434449829,0
